{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
   -5   -4.9   5   0   200            1.036         -0.0094446        -7.3378e-05
 -4.9   -4.8   5   0   200           1.0352          -0.008801        -6.8096e-05
 -4.8   -4.7   5   0   200           1.0401         -0.0075254        -6.0143e-05
 -4.7   -4.6   5   0   200           1.0426         -0.0066318        -5.3157e-05
 -4.6   -4.5   5   0   200            1.053          -0.005938        -4.7454e-05
 -4.5   -4.4   5   0   200           1.0622         -0.0049423         -3.945e-05
 -4.4   -4.3   5   0   200           1.0656         -0.0034961        -2.7503e-05
 -4.3   -4.2   5   0   200           1.0849         -0.0033542        -2.1795e-05
 -4.2   -4.1   5   0   200           1.0971         -0.0032436        -1.6801e-05
 -4.1     -4   5   0   200           1.1156           -0.00298         -1.313e-05
   -4   -3.9   5   0   200           1.1358         -0.0030089        -8.2312e-06
 -3.9   -3.8   5   0   200           1.1505         -0.0027894        -4.6575e-06
 -3.8   -3.7   5   0   200           1.1658         -0.0024086         -1.511e-06
 -3.7   -3.6   5   0   200           1.1812         -0.0022805         4.9257e-06
 -3.6   -3.5   5   0   200           1.2013        -0.00032998        -2.8131e-05
 -3.5   -3.4   5   0   200           1.2087         0.00045923        -4.8561e-05
 -3.4   -3.3   5   0   200            1.202          0.0007211        -5.7429e-05
 -3.3   -3.2   5   0   200           1.1962          0.0010291        -6.7293e-05
 -3.2   -3.1   5   0   200           1.1826          0.0017382        -7.9637e-05
 -3.1     -3   5   0   200           1.1679          0.0026322         -9.348e-05
   -3   -2.9   5   0   200           1.1502          0.0032265        -0.00010106
 -2.9   -2.8   5   0   200           1.1303          0.0039038        -0.00010666
 -2.8   -2.7   5   0   200           1.1082          0.0045091        -0.00011367
 -2.7   -2.6   5   0   200           1.0879          0.0050159        -0.00011443
 -2.6   -2.5   5   0   200           1.0704          0.0052376        -0.00011383
 -2.5   -2.4   5   0   200           1.0537          0.0052641        -0.00010482
 -2.4   -2.3   5   0   200           1.0323          0.0048361        -8.5897e-05
 -2.3   -2.2   5   0   200           1.0165          0.0037311        -4.0121e-05
 -2.2   -2.1   5   0   200           1.0062         0.00040882         3.2715e-05
 -2.1     -2   5   0   200            1.008         0.00080332         7.2761e-05
   -2   -1.9   5   0   200           1.0171          0.0007428         9.1191e-05
 -1.9   -1.8   5   0   200            1.022         0.00052791         0.00010683
 -1.8   -1.7   5   0   200           1.0266         0.00032439         0.00011432
 -1.7   -1.6   5   0   200           1.0305         5.2612e-05         0.00012278
 -1.6   -1.5   5   0   200           1.0325         3.1644e-06         0.00012746
 -1.5   -1.4   5   0   200           1.0334         2.7755e-05         0.00012843
 -1.4   -1.3   5   0   200           1.0333          9.587e-05         0.00012509
 -1.3   -1.2   5   0   200           1.0337          0.0001329          0.0001225
 -1.2   -1.1   5   0   200           1.0336         0.00027983         0.00011571
 -1.1     -1   5   0   200           1.0346         0.00027926         0.00011559
   -1   -0.9   5   0   200           1.0358         0.00025188         0.00011662
 -0.9   -0.8   5   0   200           1.0384         0.00010084         0.00011897
 -0.8   -0.7   5   0   200           1.0413        -6.1244e-05         0.00011872
 -0.7   -0.6   5   0   200           1.0456        -0.00036533         0.00012193
 -0.6   -0.5   5   0   200           1.0517        -0.00073789         0.00012281
 -0.5   -0.4   5   0   200           1.0569         -0.0010214         0.00011897
 -0.4   -0.3   5   0   200           1.0605         -0.0012904         0.00011934
 -0.3   -0.2   5   0   200           1.0626         -0.0014145          0.0001161
 -0.2   -0.1   5   0   200           1.0631         -0.0014316         0.00011335
 -0.1      0   5   0   200           1.0625         -0.0013854         0.00010969
