{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
    0    0.1   5   0   200           1.0609         -0.0013979         0.00011186
  0.1    0.2   5   0   200            1.057         -0.0012871         0.00011155
  0.2    0.3   5   0   200           1.0522         -0.0011386         0.00011416
  0.3    0.4   5   0   200           1.0463        -0.00084789         0.00011124
  0.4    0.5   5   0   200           1.0392        -0.00051959         0.00011263
  0.5    0.6   5   0   200           1.0308        -0.00012943          0.0001135
  0.6    0.7   5   0   200           1.0219         0.00032429         0.00011106
  0.7    0.8   5   0   200           1.0179         0.00057298         0.00011152
  0.8    0.9   5   0   200           1.0172         0.00060613         0.00011803
  0.9      1   5   0   200           1.0186         0.00052735         0.00012101
    1    1.1   5   0   200           1.0204         0.00043757         0.00012427
  1.1    1.2   5   0   200           1.0229         0.00038553         0.00012325
  1.2    1.3   5   0   200           1.0262         0.00020693         0.00012959
  1.3    1.4   5   0   200            1.029         0.00010953         0.00013193
  1.4    1.5   5   0   200           1.0311        -1.2744e-05         0.00013605
  1.5    1.6   5   0   200           1.0314        -4.7725e-05         0.00013384
  1.6    1.7   5   0   200           1.0313        -0.00013101         0.00013247
  1.7    1.8   5   0   200           1.0281          5.493e-05           0.000127
  1.8    1.9   5   0   200           1.0245         0.00024784         0.00012332
  1.9      2   5   0   200           1.0199         0.00057962         0.00011237
    2    2.1   5   0   200           1.0098         0.00079389         9.7836e-05
  2.1    2.2   5   0   200          0.99755          0.0010474         5.3094e-05
  2.2    2.3   5   0   200          0.99281          0.0035644        -2.8038e-05
  2.3    2.4   5   0   200          0.99951          0.0045148        -6.6161e-05
  2.4    2.5   5   0   200           1.0123          0.0049222        -8.3873e-05
  2.5    2.6   5   0   200           1.0213           0.005009        -9.4726e-05
  2.6    2.7   5   0   200           1.0375          0.0048798        -9.9867e-05
  2.7    2.8   5   0   200           1.0557          0.0044611        -0.00010021
  2.8    2.9   5   0   200           1.0797           0.003884        -9.5781e-05
  2.9      3   5   0   200           1.0995          0.0032146        -9.1531e-05
    3    3.1   5   0   200           1.1182          0.0026046        -8.7048e-05
  3.1    3.2   5   0   200            1.135          0.0016957        -7.5291e-05
  3.2    3.3   5   0   200           1.1497         0.00093028        -6.2118e-05
  3.3    3.4   5   0   200           1.1619          0.0004432        -5.2504e-05
  3.4    3.5   5   0   200           1.1785        -0.00012591        -3.9171e-05
  3.5    3.6   5   0   200           1.1852        -0.00068438        -2.4495e-05
  3.6    3.7   5   0   200           1.1774          -0.002128        -7.3848e-06
  3.7    3.8   5   0   200           1.1676         -0.0023737        -7.5819e-06
  3.8    3.9   5   0   200            1.153         -0.0026827        -1.0731e-05
  3.9      4   5   0   200           1.1412         -0.0029826         -1.024e-05
    4    4.1   5   0   200           1.1233         -0.0029812         -1.519e-05
  4.1    4.2   5   0   200           1.1081         -0.0032949        -2.0059e-05
  4.2    4.3   5   0   200           1.1023          -0.003511        -2.2984e-05
  4.3    4.4   5   0   200            1.087         -0.0036565        -2.7401e-05
  4.4    4.5   5   0   200           1.0894         -0.0053278        -3.8042e-05
  4.5    4.6   5   0   200           1.0826         -0.0063663        -4.9498e-05
  4.6    4.7   5   0   200           1.0776         -0.0071875        -5.5068e-05
  4.7    4.8   5   0   200           1.0734         -0.0081271        -6.3976e-05
  4.8    4.9   5   0   200            1.066         -0.0095532        -7.2084e-05
  4.9      5   5   0   200             1.07          -0.010304        -7.8757e-05
