{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
  3.8    3.9   5   0   200           1.0971         -0.0019543        -2.4691e-05
  3.9      4   5   0   200           1.0858          -0.002248        -2.4074e-05
    4    4.1   5   0   200           1.0688         -0.0022508        -2.8633e-05
  4.1    4.2   5   0   200           1.0543         -0.0025573        -3.3001e-05
  4.2    4.3   5   0   200           1.0487         -0.0027691        -3.5786e-05
  4.3    4.4   5   0   200           1.0342         -0.0029082        -3.9836e-05
  4.4    4.5   5   0   200           1.0365         -0.0045162        -4.9809e-05
  4.5    4.6   5   0   200           1.0301         -0.0055092        -6.0557e-05
  4.6    4.7   5   0   200           1.0253         -0.0063066        -6.5689e-05
  4.7    4.8   5   0   200           1.0213         -0.0072013        -7.4091e-05
  4.8    4.9   5   0   200           1.0144         -0.0085661         -8.165e-05
  4.9      5   5   0   200           1.0182         -0.0092914         -8.794e-05
