{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
 -0.1      0   5   0   200           1.0054         -0.0014024         4.0449e-05
    0    0.1   5   0   200           1.0045         -0.0013666          4.006e-05
  0.1    0.2   5   0   200           1.0029         -0.0013066         4.0564e-05
  0.2    0.3   5   0   200           1.0013         -0.0012475         4.2323e-05
  0.3    0.4   5   0   200          0.99886         -0.0010632           4.07e-05
  0.4    0.5   5   0   200          0.99611        -0.00091742         4.3844e-05
  0.5    0.6   5   0   200          0.99308        -0.00071533         4.5022e-05
  0.6    0.7   5   0   200          0.98974        -0.00046477         4.7133e-05
  0.7    0.8   5   0   200          0.98854        -0.00030669         4.9642e-05
  0.8    0.9   5   0   200          0.98874         -0.0002722         5.3014e-05
  0.9      1   5   0   200          0.98959        -0.00031488         5.4965e-05
    1    1.1   5   0   200          0.99053        -0.00038769         5.9103e-05
  1.1    1.2   5   0   200          0.99126        -0.00040114         5.6322e-05
  1.2    1.3   5   0   200          0.99232        -0.00050406         5.7055e-05
  1.3    1.4   5   0   200          0.99279        -0.00055424         5.3883e-05
  1.4    1.5   5   0   200          0.99323        -0.00064911         5.2275e-05
  1.5    1.6   5   0   200          0.99285        -0.00071804         4.9138e-05
  1.6    1.7   5   0   200          0.99259        -0.00085109         4.7195e-05
  1.7    1.8   5   0   200          0.99042        -0.00084339         4.3233e-05
  1.8    1.9   5   0   200          0.98722        -0.00084481          4.072e-05
  1.9      2   5   0   200          0.98395        -0.00074608         3.5272e-05
    2    2.1   5   0   200          0.97873        -0.00063994         2.6791e-05
  2.1    2.2   5   0   200          0.97371        -0.00044305         1.1641e-05
  2.2    2.3   5   0   200          0.97306          0.0012612        -2.4641e-05
  2.3    2.4   5   0   200          0.97878          0.0022094        -4.9267e-05
  2.4    2.5   5   0   200          0.99002          0.0028723        -6.3638e-05
  2.5    2.6   5   0   200          0.99927          0.0032949        -7.4433e-05
  2.6    2.7   5   0   200           1.0158          0.0035773        -8.1318e-05
  2.7    2.8   5   0   200           1.0356          0.0035449        -8.5743e-05
  2.8    2.9   5   0   200           1.0617          0.0033142        -8.5861e-05
  2.9      3   5   0   200            1.086          0.0029162        -8.5749e-05
    3    3.1   5   0   200           1.1098          0.0024671         -8.468e-05
  3.1    3.2   5   0   200           1.1317          0.0016508         -7.448e-05
  3.2    3.3   5   0   200           1.1493          0.0009281        -6.2026e-05
  3.3    3.4   5   0   200           1.1619         0.00044307        -5.2507e-05
  3.4    3.5   5   0   200           1.1785        -0.00012596        -3.9172e-05
  3.5    3.6   5   0   200           1.1852        -0.00068438        -2.4495e-05
  3.6    3.7   5   0   200           1.1774          -0.002128        -7.3848e-06
  3.7    3.8   5   0   200           1.1676         -0.0023737        -7.5819e-06
  3.8    3.9   5   0   200            1.153         -0.0026827        -1.0731e-05
  3.9      4   5   0   200           1.1412         -0.0029826         -1.024e-05
    4    4.1   5   0   200           1.1233         -0.0029812         -1.519e-05
  4.1    4.2   5   0   200           1.1081         -0.0032949        -2.0059e-05
  4.2    4.3   5   0   200           1.1023          -0.003511        -2.2984e-05
  4.3    4.4   5   0   200            1.087         -0.0036565        -2.7401e-05
  4.4    4.5   5   0   200           1.0894         -0.0053278        -3.8042e-05
  4.5    4.6   5   0   200           1.0826         -0.0063663        -4.9498e-05
  4.6    4.7   5   0   200           1.0776         -0.0071875        -5.5068e-05
  4.7    4.8   5   0   200           1.0734         -0.0081271        -6.3976e-05
  4.8    4.9   5   0   200            1.066         -0.0095532        -7.2084e-05
  4.9      5   5   0   200             1.07          -0.010304        -7.8757e-05
