{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.98842          -0.010284        -0.00010241
 -4.9   -4.8   5   0   200          0.98403         -0.0087967         -9.732e-05
 -4.8   -4.7   5   0   200          0.98194         -0.0070591        -8.4005e-05
 -4.7   -4.6   5   0   200          0.98116         -0.0057865        -7.5474e-05
 -4.6   -4.5   5   0   200          0.97618         -0.0028255        -5.7989e-05
 -4.5   -4.4   5   0   200          0.98979         -0.0025942        -5.4398e-05
 -4.4   -4.3   5   0   200           1.0055          -0.002508        -4.6086e-05
 -4.3   -4.2   5   0   200           1.0153         -0.0023478        -4.1483e-05
 -4.2   -4.1   5   0   200            1.035         -0.0026694         -3.385e-05
 -4.1     -4   5   0   200           1.0544          -0.002297        -3.2609e-05
   -4   -3.9   5   0   200           1.0689         -0.0022061        -2.8898e-05
 -3.9   -3.8   5   0   200           1.0966         -0.0019827         -2.496e-05
 -3.8   -3.7   5   0   200           1.1185         -0.0017673        -2.3988e-05
 -3.7   -3.6   5   0   200           1.1348         -0.0015095        -1.8639e-05
 -3.6   -3.5   5   0   200           1.1485         -0.0012919        -1.1112e-05
 -3.5   -3.4   5   0   200            1.167         -0.0012376        -1.3445e-06
 -3.4   -3.3   5   0   200           1.1732          0.0018432        -6.1071e-05
 -3.3   -3.2   5   0   200           1.1699          0.0029878        -0.00010157
 -3.2   -3.1   5   0   200            1.145          0.0032451        -0.00011354
 -3.1     -3   5   0   200           1.1209          0.0039537        -0.00013519
   -3   -2.9   5   0   200           1.0927          0.0046995        -0.00014845
 -2.9   -2.8   5   0   200           1.0648          0.0056023        -0.00016034
 -2.8   -2.7   5   0   200           1.0404          0.0061906        -0.00016724
 -2.7   -2.6   5   0   200           1.0158          0.0065782        -0.00016047
 -2.6   -2.5   5   0   200          0.98743           0.006406        -0.00014539
 -2.5   -2.4   5   0   200          0.96621          0.0053724        -9.0229e-05
 -2.4   -2.3   5   0   200          0.95214          0.0008773         1.0147e-05
 -2.3   -2.2   5   0   200          0.95568          0.0010829         9.4195e-05
 -2.2   -2.1   5   0   200          0.96426          0.0010499         0.00012003
 -2.1     -2   5   0   200          0.96993         0.00048848         0.00014914
   -2   -1.9   5   0   200          0.97845         4.7692e-05          0.0001522
 -1.9   -1.8   5   0   200          0.98337        -0.00016087         0.00013663
 -1.8   -1.7   5   0   200          0.99116        -0.00039696         0.00013927
 -1.7   -1.6   5   0   200          0.99363        -0.00042848         0.00013263
 -1.6   -1.5   5   0   200          0.99324        -0.00025207          0.0001254
 -1.5   -1.4   5   0   200          0.99273        -0.00015781         0.00012413
 -1.4   -1.3   5   0   200            0.992        -0.00014966          0.0001289
 -1.3   -1.2   5   0   200          0.99162        -4.6148e-05         0.00012644
 -1.2   -1.1   5   0   200          0.98994         6.6696e-05         0.00012747
 -1.1     -1   5   0   200          0.98852         0.00019993         0.00012492
   -1   -0.9   5   0   200          0.98646         0.00027287          0.0001242
 -0.9   -0.8   5   0   200          0.98394         0.00040527         0.00011702
 -0.8   -0.7   5   0   200          0.98574         0.00035952         0.00011251
 -0.7   -0.6   5   0   200           0.9929        -0.00015995         0.00011828
 -0.6   -0.5   5   0   200           1.0016        -0.00072087         0.00012491
 -0.5   -0.4   5   0   200           1.0112          -0.001192         0.00012565
 -0.4   -0.3   5   0   200           1.0199         -0.0016886         0.00013029
