{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.95985         0.00037053        -0.00014548
 -4.9   -4.8   5   0   200          0.96727        -2.4555e-05        -0.00012387
 -4.8   -4.7   5   0   200          0.97198          0.0010584        -0.00012755
 -4.7   -4.6   5   0   200          0.97523          0.0017272        -0.00012641
 -4.6   -4.5   5   0   200          0.99311          0.0013773        -0.00010613
 -4.5   -4.4   5   0   200           1.0085          0.0014747        -8.9952e-05
 -4.4   -4.3   5   0   200           1.0187          0.0019127        -7.4401e-05
 -4.3   -4.2   5   0   200           1.0467         0.00096954        -4.7776e-05
 -4.2   -4.1   5   0   200           1.0667         9.8776e-05        -2.2718e-05
 -4.1     -4   5   0   200           1.0949        -0.00092753         8.7333e-06
   -4   -3.9   5   0   200           1.1256         -0.0022409         4.1522e-05
 -3.9   -3.8   5   0   200           1.1492         -0.0031758         6.8161e-05
 -3.8   -3.7   5   0   200           1.1783         -0.0045311         0.00010628
 -3.7   -3.6   5   0   200           1.2043         -0.0057553         0.00013655
 -3.6   -3.5   5   0   200           1.2167         -0.0048418          0.0001386
 -3.5   -3.4   5   0   200           1.2227         -0.0082511         0.00022369
 -3.4   -3.3   5   0   200             1.21          -0.011285         0.00029084
 -3.3   -3.2   5   0   200            1.194          -0.013289         0.00032627
 -3.2   -3.1   5   0   200           1.1627          -0.013029         0.00031211
 -3.1     -3   5   0   200           1.1311          -0.012616         0.00029381
   -3   -2.9   5   0   200           1.0991          -0.011591         0.00026258
 -2.9   -2.8   5   0   200           1.0682          -0.010934         0.00024306
 -2.8   -2.7   5   0   200           1.0381          -0.010021         0.00021745
 -2.7   -2.6   5   0   200           1.0123         -0.0092897         0.00019547
 -2.6   -2.5   5   0   200          0.99569         -0.0094844         0.00019482
 -2.5   -2.4   5   0   200          0.98471         -0.0094014         0.00019218
 -2.4   -2.3   5   0   200           0.9708         -0.0096538         0.00019285
 -2.3   -2.2   5   0   200          0.97156          -0.010501         0.00020781
 -2.2   -2.1   5   0   200          0.98048          -0.011909         0.00020407
 -2.1     -2   5   0   200           0.9867          -0.007853         0.00012951
   -2   -1.9   5   0   200           0.9971         -0.0045671         8.8638e-05
 -1.9   -1.8   5   0   200            1.008         -0.0031092         8.9785e-05
 -1.8   -1.7   5   0   200           1.0173         -0.0023273         0.00010094
 -1.7   -1.6   5   0   200           1.0252         -0.0020558         0.00011656
 -1.6   -1.5   5   0   200             1.03         -0.0018249         0.00012764
 -1.5   -1.4   5   0   200           1.0334         -0.0016854         0.00013575
 -1.4   -1.3   5   0   200           1.0339         -0.0015042         0.00013989
 -1.3   -1.2   5   0   200           1.0313         -0.0010388         0.00013269
 -1.2   -1.1   5   0   200           1.0275        -0.00055249         0.00012238
 -1.1     -1   5   0   200           1.0271         -0.0004348         0.00012071
