{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.79209          0.0066509        -0.00013259
 -4.9   -4.8   5   0   200          0.79121          0.0069452        -0.00013184
 -4.8   -4.7   5   0   200          0.80807          0.0062937        -0.00012512
 -4.7   -4.6   5   0   200          0.81436          0.0061586        -0.00012158
 -4.6   -4.5   5   0   200           0.8402          0.0052474        -0.00011313
 -4.5   -4.4   5   0   200           0.8526          0.0049432        -0.00010828
 -4.4   -4.3   5   0   200          0.87887          0.0041758        -9.8703e-05
 -4.3   -4.2   5   0   200          0.90378           0.003435        -9.0998e-05
 -4.2   -4.1   5   0   200          0.92553          0.0026289        -8.5344e-05
 -4.1     -4   5   0   200          0.96015          0.0014308        -7.9191e-05
   -4   -3.9   5   0   200          0.98858         0.00069758         -7.844e-05
 -3.9   -3.8   5   0   200           1.0229        -0.00031079        -7.7308e-05
 -3.8   -3.7   5   0   200           1.0498         -0.0010018        -7.7837e-05
 -3.7   -3.6   5   0   200           1.0766         -0.0014593        -7.7152e-05
 -3.6   -3.5   5   0   200           1.1061         -0.0020171        -7.3163e-05
 -3.5   -3.4   5   0   200           1.1134         -0.0024953         -5.996e-05
 -3.4   -3.3   5   0   200           1.1205         -0.0029847        -5.1368e-05
 -3.3   -3.2   5   0   200            1.117          -0.003154        -4.3645e-05
 -3.2   -3.1   5   0   200           1.1136         -0.0033438        -3.7332e-05
 -3.1     -3   5   0   200           1.1017         -0.0032762        -2.8183e-05
   -3   -2.9   5   0   200           1.0875         -0.0030229        -2.6345e-05
 -2.9   -2.8   5   0   200           1.0651         -0.0024186        -2.4354e-05
 -2.8   -2.7   5   0   200           1.0445         -0.0018016        -2.6132e-05
 -2.7   -2.6   5   0   200           1.0171        -0.00085503        -3.0656e-05
 -2.6   -2.5   5   0   200          0.99811        -0.00022191        -3.5082e-05
 -2.5   -2.4   5   0   200          0.97562         0.00059432        -4.0468e-05
 -2.4   -2.3   5   0   200           0.9419          0.0015393        -4.7701e-05
 -2.3   -2.2   5   0   200          0.93237          0.0015741        -4.3812e-05
 -2.2   -2.1   5   0   200          0.91482          0.0014812        -2.9877e-05
 -2.1     -2   5   0   200          0.90866          0.0015853        -1.1318e-05
   -2   -1.9   5   0   200          0.91339          0.0014871        -2.3388e-06
 -1.9   -1.8   5   0   200          0.91675          0.0016869         1.8124e-05
 -1.8   -1.7   5   0   200          0.92165            0.00144         3.0816e-05
 -1.7   -1.6   5   0   200          0.92821          0.0011631         5.1991e-05
 -1.6   -1.5   5   0   200          0.93425          0.0008998          7.443e-05
 -1.5   -1.4   5   0   200          0.93958         0.00064115         9.0953e-05
 -1.4   -1.3   5   0   200           0.9459         0.00029318         0.00010112
 -1.3   -1.2   5   0   200          0.95186         4.3324e-05         0.00010943
 -1.2   -1.1   5   0   200          0.95613         -0.0001672         0.00011404
 -1.1     -1   5   0   200          0.95974        -0.00017154         0.00012155
   -1   -0.9   5   0   200          0.96424        -0.00027948         0.00012037
 -0.9   -0.8   5   0   200          0.96848        -0.00037653          0.0001277
 -0.8   -0.7   5   0   200          0.97297        -0.00065273         0.00013113
 -0.7   -0.6   5   0   200          0.97827        -0.00098134         0.00013705
 -0.6   -0.5   5   0   200          0.98325         -0.0012987         0.00014283
 -0.5   -0.4   5   0   200          0.98459          -0.001474         0.00014532
 -0.4   -0.3   5   0   200          0.98336         -0.0015099         0.00015128
 -0.3   -0.2   5   0   200          0.98241         -0.0015643         0.00015088
 -0.2   -0.1   5   0   200          0.98007           -0.00156         0.00015456
 -0.1      0   5   0   200          0.97743         -0.0014686         0.00015773
    0    0.1   5   0   200          0.97354         -0.0013776         0.00015902
  0.1    0.2   5   0   200          0.96909         -0.0012595         0.00016002
  0.2    0.3   5   0   200          0.96417         -0.0010977         0.00016033
