{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Correction   L1FastJet}
   -5   -4.9   5   0   200          0.98842          -0.010284        -0.00010241
 -4.9   -4.8   5   0   200          0.98403         -0.0087967         -9.732e-05
 -4.8   -4.7   5   0   200          0.98194         -0.0070591        -8.4005e-05
 -4.7   -4.6   5   0   200          0.98116         -0.0057865        -7.5474e-05
 -4.6   -4.5   5   0   200          0.97618         -0.0028255        -5.7989e-05
 -4.5   -4.4   5   0   200          0.98979         -0.0025942        -5.4398e-05
 -4.4   -4.3   5   0   200           1.0055          -0.002508        -4.6086e-05
 -4.3   -4.2   5   0   200           1.0153         -0.0023478        -4.1483e-05
 -4.2   -4.1   5   0   200            1.035         -0.0026694         -3.385e-05
 -4.1     -4   5   0   200           1.0544          -0.002297        -3.2609e-05
   -4   -3.9   5   0   200           1.0689         -0.0022061        -2.8898e-05
 -3.9   -3.8   5   0   200           1.0966         -0.0019827         -2.496e-05
 -3.8   -3.7   5   0   200           1.1185         -0.0017673        -2.3988e-05
 -3.7   -3.6   5   0   200           1.1348         -0.0015095        -1.8639e-05
 -3.6   -3.5   5   0   200           1.1485         -0.0012919        -1.1112e-05
 -3.5   -3.4   5   0   200            1.167         -0.0012377        -1.3445e-06
 -3.4   -3.3   5   0   200           1.1732          0.0018432        -6.1071e-05
 -3.3   -3.2   5   0   200           1.1699          0.0029879        -0.00010157
 -3.2   -3.1   5   0   200            1.145          0.0032449        -0.00011354
 -3.1     -3   5   0   200           1.1199          0.0039605        -0.00013558
   -3   -2.9   5   0   200           1.0855          0.0047411        -0.00015066
 -2.9   -2.8   5   0   200           1.0481          0.0056156        -0.00016535
 -2.8   -2.7   5   0   200           1.0142          0.0060309        -0.00017138
 -2.7   -2.6   5   0   200          0.98407           0.006055        -0.00016154
 -2.6   -2.5   5   0   200           0.9539          0.0053955        -0.00014604
 -2.5   -2.4   5   0   200           0.9332          0.0039422         -9.884e-05
 -2.4   -2.3   5   0   200          0.91875         0.00035529        -4.5611e-05
 -2.3   -2.2   5   0   200          0.91713         0.00040634         -1.573e-05
 -2.2   -2.1   5   0   200          0.92188         0.00026228        -7.1022e-06
 -2.1     -2   5   0   200          0.92585        -1.9381e-05         3.9756e-06
   -2   -1.9   5   0   200          0.93277        -0.00028127         1.1658e-05
 -1.9   -1.8   5   0   200          0.93762        -0.00046803         1.1892e-05
 -1.8   -1.7   5   0   200          0.94376         -0.0005869         2.1219e-05
 -1.7   -1.6   5   0   200          0.94672        -0.00056914          2.836e-05
 -1.6   -1.5   5   0   200           0.9485        -0.00044914         3.2088e-05
 -1.5   -1.4   5   0   200          0.94981        -0.00032281         3.7861e-05
 -1.4   -1.3   5   0   200          0.95075        -0.00020011         4.0952e-05
 -1.3   -1.2   5   0   200          0.95145        -0.00014854         4.5968e-05
 -1.2   -1.1   5   0   200          0.95115        -6.0637e-05         4.8917e-05
 -1.1     -1   5   0   200          0.95047         1.9416e-05         4.9026e-05
   -1   -0.9   5   0   200          0.94908         4.7196e-05         4.9236e-05
 -0.9   -0.8   5   0   200          0.94724         1.8539e-05         4.6974e-05
 -0.8   -0.7   5   0   200          0.94761        -0.00011643         4.5774e-05
 -0.7   -0.6   5   0   200          0.95009        -0.00034174         4.5667e-05
 -0.6   -0.5   5   0   200           0.9534         -0.0006071         4.4769e-05
 -0.5   -0.4   5   0   200            0.958        -0.00090364         4.3951e-05
